BuffName,id,OfficialName,From,SpConsumption,SpRecovery_hit,Sp_Threshold,FeverRecovery,ElementAbnormalAccumulation,SkillType,TriggerBuffLevel,ElementType,TimeCost,HitNumber,DmgRelated_Attributes,StunRelated_Attributes,Interruption_Resistance
Buff-武器-精5嵌合编译器-攻击力,,,,,,,,,,,,,,,,
Buff-武器-精5嵌合编译器-精通,,,,,,,,,,1|2,,,,,,
Buff-武器-精1防爆者Ⅵ型-暴击率,,,,,,,,,,,,,,,,
Buff-武器-精2防爆者Ⅵ型-暴击率,,,,,,,,,,,,,,,,
Buff-武器-精3防爆者Ⅵ型-暴击率,,,,,,,,,,,,,,,,
Buff-武器-精4防爆者Ⅵ型-暴击率,,,,,,,,,,,,,,,,
Buff-武器-精5防爆者Ⅵ型-暴击率,,,,,,,,,,,,,,,,
Buff-武器-精1防爆者Ⅵ型-普攻增伤,1241_SNA_1_A|1241_SNA_1_A_α|1241_SNA_1_A_β|1241_SNA_2_A|1241_SNA_3_A|1241_SNA_4_A|1241_SNA_5_A|1241_NA_5,,,,,,,,,,,,,,,
Buff-武器-精2防爆者Ⅵ型-普攻增伤,1241_SNA_1_A|1241_SNA_1_A_α|1241_SNA_1_A_β|1241_SNA_2_A|1241_SNA_3_A|1241_SNA_4_A|1241_SNA_5_A|1241_NA_6,,,,,,,,,,,,,,,
Buff-武器-精3防爆者Ⅵ型-普攻增伤,1241_SNA_1_A|1241_SNA_1_A_α|1241_SNA_1_A_β|1241_SNA_2_A|1241_SNA_3_A|1241_SNA_4_A|1241_SNA_5_A|1241_NA_7,,,,,,,,,,,,,,,
Buff-武器-精4防爆者Ⅵ型-普攻增伤,1241_SNA_1_A|1241_SNA_1_A_α|1241_SNA_1_A_β|1241_SNA_2_A|1241_SNA_3_A|1241_SNA_4_A|1241_SNA_5_A|1241_NA_8,,,,,,,,,,,,,,,
Buff-武器-精5防爆者Ⅵ型-普攻增伤,1241_SNA_1_A|1241_SNA_1_A_α|1241_SNA_1_A_β|1241_SNA_2_A|1241_SNA_3_A|1241_SNA_4_A|1241_SNA_5_A|1241_NA_9,,,,,,,,,,,,,,,
Buff-角色-朱鸢-核心被动-强化普攻增伤,"
1241_SRA_F_ET|1241_SRA_B_ET|1241_SRA_S_ET|1241_SNA_1_A|1241_SNA_1_A_α|1241_SNA_1_A_β|1241_SNA_2_A|1241_SNA_3_A|1241_SNA_4_A|1241_SNA_10_A",,,,,,,,,,,,,,,
Buff-角色-朱鸢-核心被动-失衡普攻增伤,,,,,,,,,,,,,,,,
Buff-角色-朱鸢-额外能力-暴击率,,,,,,,,,,2|5|6,,,,,,
Buff-角色-朱鸢-2画-强化普攻增伤,"
1241_SRA_F_ET|1241_SRA_B_ET|1241_SRA_S_ET|1241_SNA_1_A|1241_SNA_1_A_α|1241_SNA_1_A_β|1241_SNA_2_A|1241_SNA_3_A|1241_SNA_4_A|1241_SNA_10_A",,,,,,,,,,,,,,,
Buff-角色-朱鸢-4画-无视以太抗,"
1241_SRA_F_ET|1241_SRA_B_ET|1241_SRA_S_ET|1241_SNA_1_A|1241_SNA_1_A_α|1241_SNA_1_A_β|1241_SNA_2_A|1241_SNA_3_A|1241_SNA_4_A|1241_SNA_10_A",,,,,,,,,,,,,,,
Buff-角色-朱鸢-6画-降低能耗,,,,,,,,,,,,,,,,
Buff-角色-格丽斯-4画-能量获取效率,,,,,,,,,,,,,,,,
Buff-角色-格丽斯-6画-特殊技增伤,,,,,,,,,,,,,,,,
Buff-角色-伊芙琳-核心被动-暴击率提升,,,,,,,,,,,,,,,,
Buff-角色-伊芙琳-组队被动-连携技大招增伤,,,,,,,,,,5|6,,,,,,
Buff-角色-伊芙琳-组队被动-连携技大招倍率增加,,,,,,,,,,,,,,,,
Buff-角色-伊芙琳-1画-无视防御力,,,,,,,,,,,,,,,,
Buff-角色-伊芙琳-1画-无视防御力扩散,1321_E_2|1321_E_EX|1321_E_EX_A,,,,,,,,,,,,,,,
Buff-角色-伊芙琳-1画-禁锢触发器,,,,,,,,,,,,,,,,
Buff-角色-伊芙琳-2画-局内大攻击,,,,,,,,,,,,,,,,
Buff-角色-伊芙琳-2画-返还撩火触发器,1321_SNA_1|1321_SNA_2,,,,,,,,,,,,,,,
Buff-角色-伊芙琳-2画-连携技打断等级提升,,,,,,,,,,,,,,,,
Buff-角色-伊芙琳-4画-护盾给暴伤,,,,,,,,,,,,,,,,
Buff-角色-伊芙琳-4画-护盾,,,,,,,,,,5|6,,,,,,
Buff-角色-伊芙琳-6画-额外追击触发器,,,,,,,,,,5|6,,,,,,
Buff-武器-精1心弦夜响-暴伤,,,,,,,,,,,,,,,,
Buff-武器-精2心弦夜响-暴伤,,,,,,,,,,,,,,,,
Buff-武器-精3心弦夜响-暴伤,,,,,,,,,,,,,,,,
Buff-武器-精4心弦夜响-暴伤,,,,,,,,,,,,,,,,
Buff-武器-精5心弦夜响-暴伤,,,,,,,,,,,,,,,,
Buff-武器-精1心弦夜响-无视火抗,,,,,,,,,,,,,,,,
Buff-武器-精2心弦夜响-无视火抗,,,,,,,,,,,,,,,,
Buff-武器-精3心弦夜响-无视火抗,,,,,,,,,,,,,,,,
Buff-武器-精4心弦夜响-无视火抗,,,,,,,,,,,,,,,,
Buff-武器-精5心弦夜响-无视火抗,,,,,,,,,,,,,,,,
Buff-武器-精1心弦夜响-心弦触发器,,,,,,,,,,,,,,,,
Buff-武器-精2心弦夜响-心弦触发器,,,,,,,,,,,,,,,,
Buff-武器-精3心弦夜响-心弦触发器,,,,,,,,,,,,,,,,
Buff-武器-精4心弦夜响-心弦触发器,,,,,,,,,,,,,,,,
Buff-武器-精5心弦夜响-心弦触发器,,,,,,,,,,,,,,,,
Buff-角色-悠真-核心被动-特殊冲刺攻击暴击率,1201_SRA_1|1201_SRA_2|1201_SRA_3,,,,,,,,,,,,,,,
Buff-角色-悠真-核心被动-特殊冲刺攻击暴伤,1201_SRA_1|1201_SRA_2|1201_SRA_3,,,,,,,,,,,,,,,
Buff-角色-悠真-组队被动,,,,,,,,,,,,,,,,
Buff-角色-悠真-2画-特殊冲刺攻击增伤,,,,,,,,,,5|6,,,,,,
Buff-角色-悠真-6画-无视电抗,,,,,,,,,,,,,,,,
Buff-武器-精1残心青囊-暴击率,,,,,,,,,,,,,,,,
Buff-武器-精2残心青囊-暴击率,,,,,,,,,,,,,,,,
Buff-武器-精3残心青囊-暴击率,,,,,,,,,,,,,,,,
Buff-武器-精4残心青囊-暴击率,,,,,,,,,,,,,,,,
Buff-武器-精5残心青囊-暴击率,,,,,,,,,,,,,,,,
Buff-武器-精1残心青囊-电属性伤害,,,,,,,,,,3,,,,,,
Buff-武器-精2残心青囊-电属性伤害,,,,,,,,,,3,,,,,,
Buff-武器-精3残心青囊-电属性伤害,,,,,,,,,,3,,,,,,
Buff-武器-精4残心青囊-电属性伤害,,,,,,,,,,3,,,,,,
Buff-武器-精5残心青囊-电属性伤害,,,,,,,,,,3,,,,,,
Buff-武器-精1残心青囊-条件暴击率,,,,,,,,,,,,,,,,
Buff-武器-精2残心青囊-条件暴击率,,,,,,,,,,,,,,,,
Buff-武器-精3残心青囊-条件暴击率,,,,,,,,,,,,,,,,
Buff-武器-精4残心青囊-条件暴击率,,,,,,,,,,,,,,,,
Buff-武器-精5残心青囊-条件暴击率,,,,,,,,,,,,,,,,
Buff-角色-艾莲-1画-暴击率,,,,,,,,,,,,,,,,
Buff-角色-艾莲-2画-强化特殊技额外爆伤,,,,,,,,,,,,,,,,
Buff-角色-艾莲-4画-能量回复,,,,,,,,,,,,,,,,
Buff-角色-艾莲-6画-穿透率,,,,,,,,,,,,,,,,
Buff-角色-艾莲-6画-冲刺蓄力剪增伤,,,,,,,,,,,,,,,,
Buff-角色-11号-1画-回能,,,,,,,,,,,,,,,,
Buff-角色-11号-2画-火力镇压增伤,1041_SNA_1|1041_SNA_2|1041_SNA_3|1041_SNA_4|1041_SRA,,,,,,,,,,,,,,,
Buff-角色-11号-6画-火力镇压无视火抗,,,,,,,,,,,,,,,,
Buff-角色-艾莲-快蓄触发器,,,,,,,,,,,,,,,,
Buff-角色-柏妮思-组队被动-火积蓄加成,1171_SNA_1|1171_SNA_2|1171_E_EX_1|1171_E_EX_2|1171_E_EX_A_1|1171_E_EX_A_2|1171_Core_Passive,,,,,,,,,,,,,,,
Buff-角色-柏妮思-1画-余烬倍率提升,,,,,,,,,,,,,,,,
Buff-角色-柏妮思-1画-余烬火积蓄加成,,,,,,,,,,,,,,,,
Buff-角色-柏妮思-4画-双喷延时触发器,,,,,,,,,,,,,,,,
Buff-武器-精1家政员-后场时能量回复,,,,,,,,,,,,,,,,
Buff-武器-精2家政员-后场时能量回复,,,,,,,,,,,,,,,,
Buff-武器-精3家政员-后场时能量回复,,,,,,,,,,,,,,,,
Buff-武器-精4家政员-后场时能量回复,,,,,,,,,,,,,,,,
Buff-武器-精5家政员-后场时能量回复,,,,,,,,,,,,,,,,
Buff-武器-精1家政员-物理增伤,,,,,,,,,,2,,,,,,
Buff-武器-精2家政员-物理增伤,,,,,,,,,,2,,,,,,
Buff-武器-精3家政员-物理增伤,,,,,,,,,,2,,,,,,
Buff-武器-精4家政员-物理增伤,,,,,,,,,,2,,,,,,
Buff-武器-精5家政员-物理增伤,,,,,,,,,,2,,,,,,
Buff-武器-精1旋钻机-赤轴-电属性增伤,,,,,,,,,,2|5,,,,,,
Buff-武器-精2旋钻机-赤轴-电属性增伤,,,,,,,,,,2|5,,,,,,
Buff-武器-精3旋钻机-赤轴-电属性增伤,,,,,,,,,,2|5,,,,,,
Buff-武器-精4旋钻机-赤轴-电属性增伤,,,,,,,,,,2|5,,,,,,
Buff-武器-精5旋钻机-赤轴-电属性增伤,,,,,,,,,,2|5,,,,,,
Buff-武器-精1星徽引擎-攻击力提升,,,,,,,,,,4|7,,,,,,
Buff-武器-精2星徽引擎-攻击力提升,,,,,,,,,,4|7,,,,,,
Buff-武器-精3星徽引擎-攻击力提升,,,,,,,,,,4|7,,,,,,
Buff-武器-精4星徽引擎-攻击力提升,,,,,,,,,,4|7,,,,,,
Buff-武器-精5星徽引擎-攻击力提升,,,,,,,,,,4|7,,,,,,
Buff-武器-精1星鎏金花信-攻击力提升,,,,,,,,,,,,,,,,
Buff-武器-精2星鎏金花信-攻击力提升,,,,,,,,,,,,,,,,
Buff-武器-精3星鎏金花信-攻击力提升,,,,,,,,,,,,,,,,
Buff-武器-精4星鎏金花信-攻击力提升,,,,,,,,,,,,,,,,
Buff-武器-精5星鎏金花信-攻击力提升,,,,,,,,,,,,,,,,
Buff-武器-精1星鎏金花信-强化特殊技增伤,,,,,,,,,,,,,,,,
Buff-武器-精2星鎏金花信-强化特殊技增伤,,,,,,,,,,,,,,,,
Buff-武器-精3星鎏金花信-强化特殊技增伤,,,,,,,,,,,,,,,,
Buff-武器-精4星鎏金花信-强化特殊技增伤,,,,,,,,,,,,,,,,
Buff-武器-精5星鎏金花信-强化特殊技增伤,,,,,,,,,,,,,,,,
Buff-武器-精1星强音热望-攻击力提升,,,,,,,,,,2|5,,,,,,
Buff-武器-精2星强音热望-攻击力提升,,,,,,,,,,2|5,,,,,,
Buff-武器-精3星强音热望-攻击力提升,,,,,,,,,,2|5,,,,,,
Buff-武器-精4星强音热望-攻击力提升,,,,,,,,,,2|5,,,,,,
Buff-武器-精5星强音热望-攻击力提升,,,,,,,,,,2|5,,,,,,
Buff-武器-精1星强音热望-额外攻击力提升,,,,,,,,,,,,,,,,
Buff-武器-精2星强音热望-额外攻击力提升,,,,,,,,,,,,,,,,
Buff-武器-精3星强音热望-额外攻击力提升,,,,,,,,,,,,,,,,
Buff-武器-精4星强音热望-额外攻击力提升,,,,,,,,,,,,,,,,
Buff-武器-精5星强音热望-额外攻击力提升,,,,,,,,,,,,,,,,
Buff-角色-扳机-核心被动-失衡易伤,,,,,,,,,,,,,,,,
Buff-角色-扳机-额外能力-追加攻击失衡值提升,,,,,,,,,,,,,,,,
Buff-角色-扳机-协同攻击-触发器,,,,,,,,,,,,,,,,
Buff-角色-扳机-协战状态-触发器,,,,,,,,,,,,,,,,
Buff-角色-扳机-1画-失衡易伤提升,,,,,,,,,,,,,,,,
Buff-角色-扳机-1画-决意值提升触发器,,,,,,,,,,,,,,,,
Buff-角色-扳机-2画-猎眸,,,,,,,,,,,,,,,,
Buff-角色-扳机-4画-断离触发器,,,,,,,,,,,,,,,,
Buff-角色-扳机-6画-破甲凶弹触发器,,,,,,,,,,,,,,,,
Buff-角色-零号·安比-银星触发器,,,,,,,,,,,3,,,,,
Buff-角色-零号·安比-核心被动-增伤,,,,,,,,,,,,,,,,
Buff-角色-零号·安比-核心被动-受暴伤增加,,,,,,,,,,,,,,,,
Buff-角色-零号·安比-组队被动-暴击率提升,,,,,,,,,,,,,,,,
Buff-角色-零号·安比-组队被动-全队对银星目标增伤,,,,,,,,,,,,,,,,
Buff-角色-零号·安比-2画-暴击率提升,,,,,,,,,,,,,,,,
Buff-角色-零号·安比-4画-无视电抗,,,,,,,,,,,,,,,,
Buff-武器-精1牺牲洁纯-常驻暴伤,,,,,,,,,,,,,,,,
Buff-武器-精2牺牲洁纯-常驻暴伤,,,,,,,,,,,,,,,,
Buff-武器-精3牺牲洁纯-常驻暴伤,,,,,,,,,,,,,,,,
Buff-武器-精4牺牲洁纯-常驻暴伤,,,,,,,,,,,,,,,,
Buff-武器-精5牺牲洁纯-常驻暴伤,,,,,,,,,,,,,,,,
Buff-武器-精1牺牲洁纯-触发暴伤,,,,,,,,,,,,,,,,
Buff-武器-精2牺牲洁纯-触发暴伤,,,,,,,,,,,,,,,,
Buff-武器-精3牺牲洁纯-触发暴伤,,,,,,,,,,,,,,,,
Buff-武器-精4牺牲洁纯-触发暴伤,,,,,,,,,,,,,,,,
Buff-武器-精5牺牲洁纯-触发暴伤,,,,,,,,,,,,,,,,
Buff-武器-精1牺牲洁纯-满层电伤,,,,,,,,,,,,,,,,
Buff-武器-精2牺牲洁纯-满层电伤,,,,,,,,,,,,,,,,
Buff-武器-精3牺牲洁纯-满层电伤,,,,,,,,,,,,,,,,
Buff-武器-精4牺牲洁纯-满层电伤,,,,,,,,,,,,,,,,
Buff-武器-精5牺牲洁纯-满层电伤,,,,,,,,,,,,,,,,
Buff-驱动盘-如影相随-二件套,,,,,,,,,,,,,,,,
Buff-驱动盘-如影相随-四件套,,,,,,,,,,,,,,,,
Buff-武器-精1索魂影眸-减防,,,,,,,,,,,,,,,,
Buff-武器-精2索魂影眸-减防,,,,,,,,,,,,,,,,
Buff-武器-精3索魂影眸-减防,,,,,,,,,,,,,,,,
Buff-武器-精4索魂影眸-减防,,,,,,,,,,,,,,,,
Buff-武器-精5索魂影眸-减防,,,,,,,,,,,,,,,,
Buff-武器-精1索魂影眸-魂锁,,,,,,,,,,,,,,,,
Buff-武器-精2索魂影眸-魂锁,,,,,,,,,,,,,,,,
Buff-武器-精3索魂影眸-魂锁,,,,,,,,,,,,,,,,
Buff-武器-精4索魂影眸-魂锁,,,,,,,,,,,,,,,,
Buff-武器-精5索魂影眸-魂锁,,,,,,,,,,,,,,,,
Buff-武器-精1索魂影眸-冲击力,,,,,,,,,,,,,,,,
Buff-武器-精2索魂影眸-冲击力,,,,,,,,,,,,,,,,
Buff-武器-精3索魂影眸-冲击力,,,,,,,,,,,,,,,,
Buff-武器-精4索魂影眸-冲击力,,,,,,,,,,,,,,,,
Buff-武器-精5索魂影眸-冲击力,,,,,,,,,,,,,,,,
Buff-角色-柳-架势-上弦,,,,,,,,,,,,,,,,
Buff-角色-柳-架势-下弦,,,,,,,,,,,,,,,,
Buff-角色-柳-森罗万象,,,,,,,,,,,,,,,,
Buff-角色-柳-核心被动-紊乱倍率提升,,,,,,,,,,2,,,,,,
Buff-角色-柳-核心被动-电伤增幅,,,,,,,,,,2,,,,,,
Buff-角色-柳-额外能力-积蓄效率,,,,,,,,,,,,,,,,
Buff-角色-柳-极性紊乱触发器,,,,,,,,,,,,,,,,
Buff-角色-柳-1画-洞悉,,,,,,,,,,,,,,,,
Buff-角色-柳-1画-精通增幅,,,,,,,,,,,,,,,,
Buff-角色-柳-2画-积蓄效率,1221_E_EX_1,,,,,,,,,,,,,,,
Buff-角色-柳-4画-识破,,,,,,,,,,,,,,,,
Buff-角色-柳-6画-特殊技伤害提升,,,,,,,,,,,,,,,,
Buff-角色-简-狂热状态触发器,,,,,,,,,,,,,,,,
Buff-角色-简-狂热-物理积蓄效率提升,,,,,,,,,,,,,,,,
Buff-角色-简-狂热-额外精通转攻击力,,,,,,,,,,,,,,,,
Buff-角色-简-核心被动-啮咬触发器,,,,,,,,,,,0,,,,,
Buff-角色-简-核心被动-啮咬-强击暴击率提升,,,,,,,,,,,,,,,,
Buff-角色-简-核心被动-啮咬-强击暴击伤害提升,,,,,,,,,,,,,,,,
Buff-角色-简-额外能力-物理异常积蓄效率提升,,,,,,,,,,,,,,,,
Buff-角色-简-额外能力-物理异常积蓄效率额外提升,,,,,,,,,,,,,,,,
Buff-角色-简-1画-狂热物理异常积蓄效率额外提升,,,,,,,,,,,,,,,,
Buff-角色-简-1画-精通转增伤,,,,,,,,,,,,,,,,
Buff-角色-简-2画-啮咬-强击无视防御与暴击伤害提升,,,,,,,,,,,,,,,,
Buff-角色-简-2画-啮咬-攻击无视防御,,,,,,,,,,,,,,,,
Buff-角色-简-4画-全队异常伤害提升,,,,,,,,,,,,,,,,
Buff-角色-简-6画-双暴提升,,,,,,,,,,,,,,,,
Buff-角色-简-6画-额外攻击触发器,,,,,,,,,,,,,,,,
Buff-角色-简-6画-额外攻击触发器,,,,,,,,,,,,,,,,
Buff-角色-薇薇安-协同攻击触发器,,,,,,,,,,,,,,,,
Buff-角色-薇薇安-羽毛结算触发器,,,,,,,,,,,,,,,,
Buff-角色-薇薇安-核心被动触发器,,,,,,,,,,,,,,,,
Buff-角色-薇薇安-预言触发器,,,,,,,,,,,,,,,,
Buff-角色-薇薇安-额外能力-协同攻击触发器,,,,,,,,,,,,,,,,
Buff-角色-薇薇安-额外能力-全队侵蚀伤害增加,,,,,,,,,,,,,,,,
Buff-角色-薇薇安-额外能力-侵蚀紊乱伤害提升,,,,,,,,,,,,,,,,
Buff-角色-薇薇安-1画-全属性异常和紊乱伤害提升,,,,,,,,,,,,,,,,
Buff-角色-薇薇安-2画-以太积蓄效率提升,,,,,,,,,,,,,,,,
Buff-角色-薇薇安-2画-异放全属性抗性穿透,,,,,,,,,,,,,,,,
Buff-角色-薇薇安-4画-悬落与落羽生花必暴,,,,,,,,,,,,,,,,
Buff-角色-薇薇安-4画-局内攻击力增幅,1331_SNA_2|1331_CoAttack_A,,,,,,,,,,,,,,,
Buff-角色-薇薇安-6画-以太伤害增加,,,,,,,,,,,,,,,,
Buff-驱动盘-法厄同之歌-四件套-以太伤害提高,,,,,,,,,,,,,,,,
Buff-驱动盘-法厄同之歌-四件套-精通增幅,,,,,,,,,,2,,,,,,
Buff-武器-精1飞鸟星梦-属性异常积蓄效率,,,,,,,,,,,,,,,,
Buff-武器-精2飞鸟星梦-属性异常积蓄效率,,,,,,,,,,,,,,,,
Buff-武器-精3飞鸟星梦-属性异常积蓄效率,,,,,,,,,,,,,,,,
Buff-武器-精4飞鸟星梦-属性异常积蓄效率,,,,,,,,,,,,,,,,
Buff-武器-精5飞鸟星梦-属性异常积蓄效率,,,,,,,,,,,,,,,,
Buff-武器-精1飞鸟星梦-精通增幅,,,,,,,,,,,,,,,,
Buff-武器-精2飞鸟星梦-精通增幅,,,,,,,,,,,,,,,,
Buff-武器-精3飞鸟星梦-精通增幅,,,,,,,,,,,,,,,,
Buff-武器-精4飞鸟星梦-精通增幅,,,,,,,,,,,,,,,,
Buff-武器-精5飞鸟星梦-精通增幅,,,,,,,,,,,,,,,,
Buff-武器-精1时流贤者-电积蓄效率提升,,,,,,,,,,,,,,,,
Buff-武器-精2时流贤者-电积蓄效率提升,,,,,,,,,,,,,,,,
Buff-武器-精3时流贤者-电积蓄效率提升,,,,,,,,,,,,,,,,
Buff-武器-精4时流贤者-电积蓄效率提升,,,,,,,,,,,,,,,,
Buff-武器-精5时流贤者-电积蓄效率提升,,,,,,,,,,,,,,,,
Buff-武器-精1时流贤者-精通提升,,,,,,,,,,,,,,,,
Buff-武器-精2时流贤者-精通提升,,,,,,,,,,,,,,,,
Buff-武器-精3时流贤者-精通提升,,,,,,,,,,,,,,,,
Buff-武器-精4时流贤者-精通提升,,,,,,,,,,,,,,,,
Buff-武器-精5时流贤者-精通提升,,,,,,,,,,,,,,,,
Buff-武器-精1时流贤者-装备者紊乱伤害提升,,,,,,,,,,,,,,,,
Buff-武器-精2时流贤者-装备者紊乱伤害提升,,,,,,,,,,,,,,,,
Buff-武器-精3时流贤者-装备者紊乱伤害提升,,,,,,,,,,,,,,,,
Buff-武器-精4时流贤者-装备者紊乱伤害提升,,,,,,,,,,,,,,,,
Buff-武器-精5时流贤者-装备者紊乱伤害提升,,,,,,,,,,,,,,,,
Buff-武器-精1淬锋钳刺-猎意,,,,,,,,,,,,,,,,
Buff-武器-精2淬锋钳刺-猎意,,,,,,,,,,,,,,,,
Buff-武器-精3淬锋钳刺-猎意,,,,,,,,,,,,,,,,
Buff-武器-精4淬锋钳刺-猎意,,,,,,,,,,,,,,,,
Buff-武器-精5淬锋钳刺-猎意,,,,,,,,,,,,,,,,
Buff-武器-精1淬锋钳刺-属性异常积蓄效率提升,,,,,,,,,,,,,,,,
Buff-武器-精2淬锋钳刺-属性异常积蓄效率提升,,,,,,,,,,,,,,,,
Buff-武器-精3淬锋钳刺-属性异常积蓄效率提升,,,,,,,,,,,,,,,,
Buff-武器-精4淬锋钳刺-属性异常积蓄效率提升,,,,,,,,,,,,,,,,
Buff-武器-精5淬锋钳刺-属性异常积蓄效率提升,,,,,,,,,,,,,,,,
